Điểm chuẩn theo phương thức Điểm thi THPT 2024,2024,,,,,
STT,2024,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,2024,7320106,Công nghệ truyền thông (cử nhân),A00; A01; D01; D90,23.7,
2,2024,7320106DA,Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),A00; A01; D01; D90,23.52,
3,2024,7340101,Quản trị kinh doanh,A00; A01; D01; D90,23.28,
4,2024,7340101EF,Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số,A00; A01; D01; D90,23.28,
5,2024,7340101EL,Quản trị kinh doanh - Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,A00; A01; D01; D90,24,
6,2024,7340101ET,Quản trị kinh doanh - Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số,A00; A01; D01; D90,23.5,
7,2024,7340101IM,Quản trị kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin,A00; A01; D01; D90,22.5,
8,2024,7340115,Marketing,A00; A01; D01; D90,24.01,
9,2024,7480107,Trí tuệ nhân tạo (kỹ sư),A00; A01; D01; D90,23,
10,2024,7480108,Công nghệ kỹ thuật máy tính (kỹ sư),A00; A01; D01; D90,22.5,
11,2024,7480108B,Công nghệ kỹ thuật máy tính (cử nhân),A00; A01; D01; D90,22,
12,2024,7480108IC,Công nghệ kỹ thuật máy tính - chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),A00; A01; D01; D90,27,
13,2024,7480201,Công nghệ thông tin (kỹ sư),A00; A01; D01; D90,23,
14,2024,7480201B,Công nghệ thông tin (cử nhân),A00; A01; D01; D90,22.5,
15,2024,7480201DT,Công nghệ thông tin (cử nhân - Hựp tác doanh nghiệp),A00; A01; D01; D90,22,
16,2024,7480202,An toàn thông tin (kỹ sư),A00; A01; D01; D90,23,
Điểm chuẩn theo phương thức Điểm học bạ 2024,2024,,,,,
STT,2024,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,2024,7320106,Công nghệ truyền thông (cử nhân),A00; A01; D01; D07,25.5,
2,2024,7340101,Quản trị kinh doanh,A00; A01; D01; D07,25,
3,2024,7340115,Marketing,A00; A01; D01; D07,26,
4,2024,7480107,Trí tuệ nhân tạo (kỹ sư),A00; A01; D01; D07,25,
5,2024,7480108,Công nghệ kỹ thuật máy tính (kỹ sư),A00; A01; D01; D07,24,
6,2024,7480201,Công nghệ thông tin (kỹ sư),A00; A01; D01; D07,25,
7,2024,7480202,An toàn thông tin (kỹ sư),A00; A01; D01; D07,24,
8,2024,7320106DA,Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),A00; A01; D01; D07,25.5,
9,2024,7340101EF,Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số,A00; A01; D01; D07,24,
10,2024,7340101EL,Quản trị kinh doanh - Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,A00; A01; D01; D07,26,
11,2024,7340101ET,Quản trị kinh doanh - Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số,A00; A01; D01; D07,25,
12,2024,7340101IM,Quản trị kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin,A00; A01; D01; D07,24,
13,2024,7480108B,Công nghệ kỹ thuật máy tính (cử nhân),A00; A01; D01; D07,24,
14,2024,7480108IC,Công nghệ kỹ thuật máy tính - chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),A00; A01; D01; D07,27,
15,2024,7480201B,Công nghệ thông tin (cử nhân),A00; A01; D01; D07,24,
16,2024,7480201DT,Công nghệ thông tin (cử nhân - Hợp tác doanh nghiệp),A00; A01; D01; D07,24,
Điểm chuẩn theo phương thức Điểm thi ĐGNL QG HCM 2024,2024,,,,,
STT,2024,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,2024,7340101,Quản trị kinh doanh,,650,
2,2024,7340101EL,Quản trị kinh doanh - Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,,700,
3,2024,7340101ET,Quản trị kinh doanh - Chuyên ngành Quàn trị dịch vụ du lịch và lữ hành số,,650,
4,2024,7340101EF,Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số,,650,
5,2024,7340101IM,Quản tri kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin,,600,
6,2024,7340115,Marketing,,700,
7,2024,7480108,Công nghệ kỹ thuật máy tính (kỹ sư),,650,
8,2024,7480108IC,Công nghệ kỹ thuật máy tinh - chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),,700,
9,2024,7480108B,Công nghệ kỹ thuật máy tính (cử nhân),,600,
10,2024,7480202,An toàn thông tin (kỹ sư),,650,
11,2024,7480201,Công nghệ thông tin (kỹ sư),,650,
12,2024,7480201B,Công nghệ thông tin (cử nhân),,650,
13,2024,7480201DT,Công nghệ thông tin (cử nhân - Hợp tác doanh nghiệp),,650,
14,2024,7480107,Trí tuệ nhân tạo (kỹ sư),,650,
15,2024,7320106,Công nghệ truyền thông (cử nhân),,650,
16,2024,7320106DA,Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),,650,
