STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,
1,2019,"Chính trị học
7310201",18,,,"Môn Văn (C00, D78); môn GDCD (C19, D66) hệ số 2",
2,2019,"Công tác xã hội
7760101",18,,,Môn Ngữ văn hệ số 2,
3,2019,"Công nghệ kỹ thuật Môi trường
7510406",23,,,"Môn Hoá (A00, B00, D07); môn Sinh (D08) hệ số 2",
4,2019,"Công nghệ thông tin
7480201",20,,,Môn Toán hệ số 2,
5,2019,"ĐH Toán ứng dụng
7460112",20,,,Môn Toán hệ số 2,
6,2019,"Du lịch
7310630",18,,,"Môn Lịch Sử (C00); môn Địa lý (D15); môn Tiếng Anh (D14, D78) hệ số 2",
7,2019,"Giáo dục Mầm non
7140201",30.5,,,Môn Năng khiếu hệ số 2,
8,2019,"Giáo dục Đặc biệt
7140203",24.25,,,Môn Ngữ văn hệ số 2,
9,2019,"Giáo dục Mầm non
51140201",27,,,Môn Năng khiếu hệ số 2,
10,2019,"Giáo dục Công dân
7140204",25,,,"Môn Ngữ văn (C00, D78); môn GDCD (C19, D66) hệ số 2",
11,2019,"Giáo dục Tiểu học
7140202",24,,,Môn Tiếng Anh hệ số 2,
12,2019,"Giáo dục Thể chất
51140206",40,,,Môn Năng khiếu hệ số 2,
13,2019,"Giáo dục Tiểu học
51140202",22.25,,,Môn Tiếng Anh hệ số 2,
14,2019,"Logistics và Quản lý chuỗi cung ứng
7510605",20,,,"Môn Toán (A00, D01, D90); môn Văn (D78) hệ số 2",
15,2019,"Luật
738101",20,,,"Môn Văn (C00, D78); môn GDCD (D66); môn Toán (D90) hệ số 2",
16,2019,"Ngôn ngữ Trung Quốc
7220204",28,,,Môn Tiếng Anh hệ số 2,
17,2019,"Ngôn ngữ Anh
7220201",27.5,,,Môn Tiếng Anh hệ số 2,
18,2019,"Quản trị doanh nghiệp
7340101",20,,,"Môn Toán (A00, D01, D90); môn Văn (D78) hệ số 2",
19,2019,"Quản trị dịch vụ du lịch và lữ hành
7810103",18,,,Môn Tiếng Anh hệ số 2,
20,2019,"Quản lý giáo dục
7140114",18,,,Môn Ngữ văn hệ số 2,
21,2019,"Quản lý công
7340403",19.75,,,,
22,2019,"Quản trị khách sạn
7810201",18,,,Môn Tiếng Anh hệ số 2,
23,2019,"Sư phạm Lịch sử
7140218",23.5,,,"Môn Lịch Sử (C00, D14, C19); môn KHXH (D78) hệ số 2",
24,2019,"Sư phạm Địa lý (cao đẳng)
51140219",22.25,,,"Môn Địa lý (C00, D15); môn KHXH(C15, D78) hệ số 2",
25,2019,"Sư phạm Ngữ văn (cao đẳng)
51140217",,,,,
26,2019,"Sư phạm Hóa học (CĐ)
SI 140212",21.5,,,"Môn Hoá (A00, B00, D07); môn KHTN (D90) hệ số 2",
27,2019,"Sư phạm Toán học
7140209",24,,,Môn Toán hệ số 2,
28,2019,"Sư nham Tin học (CĐ)
SI 140210",24.5,,,Môn Toán hệ số 2,
29,2019,"Sư phạm Tiếng Anh (CĐ)
SI 140231",21.25,,,Môn Tiếng Anh hệ số 2,
30,2019,"Sư phạm Ngữ văn
7140217",25.5,,,Môn Ngữ văn hệ số 2,
31,2019,"Sư phạm Toán học (Toán - Tin)
51140209",,,,,
32,2019,"Sư phạm Vật lý
7140211",24,,,"Môn Lý (A00, A01, A02); môn KHTN (D90) hệ số 2",
33,2019,"Sư phạm Tiếng Anh
51140213",20,,,"Môn Sinh học (A02, B00, D08); môn KHTN (D90) hệ số 2",
