STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,
1,2024,"An toàn thông tin
7480202",23,"A00, A01, D01, D90","15,000,000",,
2,2024,"Công nghệ kỹ thuật máy tính (cử nhân)
7480108B",22,"A00, A01, D01, D90","16,400,000",,
3,2024,"Công nghệ thông tin
7480201",23,"A00, A01, D01, D90","16,400,000",,
4,2024,"Công nghệ thông tin (đặc thù)
7480201DT",22,"A00, A01, D01, D90","16,400,000",,
5,2024,"Công nghệ thông tin (chuyên ngành Thiết kế Mỹ thuật số)
7480201DA",,,"16,400,000",,
6,2024,"Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân)
7320106DA",23.52,"A00, A01, D01, D90","15,000,000",,
7,2024,"Công nghệ kỹ thuật máy tính – chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư)
7480108IC",27,"A00, A01, D01, D90","16,400,000",,
8,2024,"Công nghệ thông tin (chuyên ngành Khoa học dữ liệu và Trí tuệ nhân tạo)
7480201DS",,,"16,400,000",,
9,2024,"Công nghệ truyền thông
7320106",23.7,"A00, A01, D01, D90","15,000,000",,
10,2024,"Công nghệ thông tin
7480201B",22.5,"A00, A01, D01, D90","16,400,000",,
11,2024,"Công nghệ kỹ thuật máy tính
7480108",22.5,"A00, A01, D01, D90","16,400,000",,
12,2024,"Công nghệ thông tin - Chuyên ngành Mạng và An toàn thông tin (kỹ sư)
7480201NS",,,"16,400,000",,
13,2024,"Marketing
7340115",24.01,"A00, A01, D01, D90","14,100,000",,
14,2024,"Quản trị kinh doanh - Chuyên ngành Marketing kỹ thuật số
7340101DM",,,"14,100,000",,
15,2024,"Quản trị Kinh doanh
7340101",23.28,"A00, A01, D01, D90","14,100,000",,
16,2024,"Quản trị kinh doanh (chuyên ngành Quản trị dịch vụ du lịch và lữ hành số)
7340101ET",23.5,"A00, A01, D01, D90","14,100,000",,
17,2024,"Quản trị kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin
7340101IM",22.5,"A00, A01, D01, D90","14,100,000",,
18,2024,"Quản trị kinh doanh (chuyên ngành Quản trị Logistics và chuỗi cung ứng số)
7340101EL",24,"A00, A01, D01, D90","14,100,000",,
19,2024,"Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số
7340101EF",23.28,"A00, A01, D01, D90","14,100,000",,
20,2024,"Trí tuệ nhân tạo
7480107",23,"A00, A01, D01, D90","15,000,000",,
